"";"FranjaHoraria";"Dia";"Malo";"PrimerCredito";"MedioOrigen";"Sexo";"Edad";"EstadoCivil";"Region";"TipoConvenio";"RubroLaboral";"DeudaTC";"DeudaTC_cat";"AtrasoTC";"LimiteUtilizadoTC";"EstadoCuentaTC";"CantAtraso1mTC";"CantAtraso3mTC";"MaximoAtrasoTC";"TieneTC";"CapitalPrestado";"Cuotas";"MontoCuota";"MontoTotal";"ProgramaFidelidad";"PeorCalificacionBCU";"PeorCalificacionBCU_cat";"MejorCalificacionBCU";"MejorCalificacionBCU_cat";"PromedioCalificacionBCU";"DeudaVigenteBCU";"ContingenciasBCU";"PrevisionesBCU";"DeudaMorosaBCU";"DeudaCastigadaBCU";"CantidadInstitucionesBCU";"FueDenegadoAnteriormente";"DiasUltDenegacion";"ContOutBoundCobranza";"ContactosInBound";"DeudaCreditos";"CantCredAtraso0";"CantCredAtrasoMedio";"CantCredAtrasoMayor";"CantCuotasAtraso";"CantCuotasAbiertas";"MontoCreditosAbiertos";"MontoAPagarMensual"
"96";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";61;"Casado";"DptoSuroeste";"Sin Convenio";"JubiladosYPensionistas";0;"Sin deudas";0;0;"Activa";0;0;0;"1";1390,59490205206;9;253,217706818593;2278,96023162082;"0";"1C";"1C";"1C";"1C";1;4875,92634075925;7145,49310381671;40,2994402614686;0;0;3;"0";0;0;1;0;0;0;0;0;0;0;0
"97";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";29;"Casado";"Canelones";"Sin Convenio";"SupermercadosYMas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"2B";"Otros";"1C";"1C";1;46997,6786445965;469,223802483085;651,871489893113;0;0;6;"1";592;0;0;0;0;0;0;0;0;0;0
"98";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Hombre";72;"Otros";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;4673,71993605186;0;23,3689473289848;0;0;1;"0";0;0;0;0;0;0;0;0;0;0;0
"99";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";50;"Casado";"Sin Identificar";"Sin Convenio";"ComerciosYAlojamientos";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"0";"NoTiene";"0";"NoTiene";0;0;0;0;0;0;0;"1";548;0;0;0;0;0;0;0;0;0;0
"100";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";32;"Casado";"Sin Identificar";"Sin Convenio";"ComerciosYAlojamientos";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"1C";"1C";"1C";"1C";1;6072,79514934826;397,622070976425;31,9605061654964;0;0;1;"1";111;0;1;0;0;0;0;0;0;0;0
"101";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Hombre";35;"Casado";"Canelones";"Sin Convenio";"Industria";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;9;415,327597628004;3737,94922627214;"0";"2A";"Otros";"2A";"Otros";2;1365,21190977327;0;20,4788275908866;0;0;1;"1";42;0;0;0;0;0;0;0;0;0;0
"102";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Hombre";67;"Casado";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"5";"Otros";6;0;0;743,189539452701;743,189539452701;0;1;"1";489;0;0;0;0;0;0;0;0;0;0
"103";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Hombre";26;"Otros";"Sin Identificar";"Sin Convenio";"Industria";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"1C";"1C";"1C";"1C";1;22171,0332565611;0;110,59169490203;0;0;2;"1";255;0;4;0;0;0;0;0;0;0;0
"104";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Hombre";28;"Casado";"Sin Identificar";"Sin Convenio";"ComerciosYAlojamientos";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"5";"Otros";6;0;0;351,996652240097;351,996652240097;0;1;"1";68;0;0;0;0;0;0;0;0;0;0
"105";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";27;"Casado";"Sin Identificar";"Sin Convenio";"Industria";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"1C";"1C";"1C";"1C";1;97,5432794044415;1951,46817921305;10,2440491117835;0;0;1;"1";12;0;0;0;0;0;0;0;0;0;0
